iter	Passed	Remaining
533	5228	4562
534	5237	4552
535	5247	4542
536	5258	4533
537	5267	4523
538	5276	4513
539	5287	4504
540	5296	4494
541	5306	4483
542	5315	4473
543	5324	4463
544	5335	4454
545	5345	4444
546	5354	4434
547	5364	4424
548	5374	4415
549	5384	4405
550	5393	4395
551	5402	4384
552	5412	4375
553	5423	4366
554	5435	4357
555	5446	4349
556	5468	4348
557	5477	4338
558	5486	4328
559	5495	4318
560	5504	4307
561	5514	4297
562	5523	4287
563	5532	4277
564	5541	4266
565	5550	4256
566	5560	4246
567	5570	4236
568	5579	4226
569	5589	4216
570	5598	4206
571	5608	4196
572	5618	4186
573	5627	4176
574	5637	4166
575	5648	4157
576	5657	4147
577	5666	4137
578	5676	4127
579	5685	4117
580	5696	4107
581	5705	4097
582	5714	4087
583	5723	4077
584	5733	4067
585	5743	4057
586	5753	4047
587	5762	4037
588	5772	4028
589	5782	4018
590	5792	4008
591	5802	3998
592	5813	3989
593	5822	3979
594	5831	3969
595	5841	3959
596	5861	3956
597	5871	3946
598	5880	3936
599	5889	3926
600	5898	3916
601	5907	3905
602	5917	3895
603	5925	3885
604	5934	3874
605	5943	3864
606	5954	3855
607	5963	3845
608	5974	3835
609	5984	3826
610	5993	3815
611	6002	3805
612	6012	3795
613	6021	3785
614	6030	3775
615	6039	3764
616	6049	3754
617	6057	3744
618	6067	3734
619	6076	3724
620	6085	3713
621	6094	3703
622	6102	3693
623	6111	3682
624	6120	3672
625	6128	3661
626	6137	3651
627	6146	3641
628	6155	3630
629	6165	3620
630	6191	3620
631	6200	3610
632	6209	3600
633	6218	3589
634	6227	3579
635	6236	3569
636	6245	3558
637	6253	3548
638	6262	3537
639	6271	3527
640	6280	3517
641	6288	3506
642	6297	3496
643	6306	3486
644	6315	3475
645	6323	3465
646	6332	3455
647	6342	3445
648	6351	3434
649	6360	3424
650	6369	3414
651	6377	3404
652	6386	3393
653	6394	3383
654	6403	3373
655	6412	3362
656	6421	3352
657	6431	3342
658	6441	3333
659	6450	3323
660	6459	3312
661	6468	3302
662	6476	3292
663	6485	3281
664	6493	3271
665	6502	3261
666	6511	3250
667	6520	3240
668	6529	3230
669	6538	3220
670	6548	3210
671	6557	3200
672	6566	3190
673	6575	3180
674	6584	3170
675	6592	3159
676	6601	3149
677	6610	3139
678	6619	3129
679	6628	3119
680	6637	3109
681	6646	3099
682	6655	3089
683	6664	3079
684	6673	3068
685	6682	3058
686	6691	3048
687	6700	3038
688	6708	3028
689	6716	3017
690	6726	3007
691	6735	2997
692	6744	2987
693	6752	2977
694	6761	2967
695	6770	2957
696	6779	2947
697	6788	2937
698	6797	2927
699	6806	2916
700	6814	2906
701	6823	2896
702	6832	2886
703	6841	2876
704	6850	2866
705	6859	2856
706	6868	2846
707	6876	2836
708	6885	2826
709	6894	2815
710	6902	2805
711	6911	2795
712	6920	2785
713	6930	2775
714	6938	2765
715	6947	2755
716	6956	2745
717	6965	2735
718	6973	2725
719	6982	2715
720	6991	2705
721	7001	2695
722	7011	2686
723	7020	2676
724	7029	2666
725	7038	2656
726	7047	2646
727	7056	2636
728	7064	2626
729	7073	2616
730	7082	2606
731	7091	2596
732	7100	2586
733	7109	2576
734	7118	2566
735	7127	2556
736	7136	2546
737	7145	2536
738	7154	2526
739	7163	2516
740	7172	2506
741	7181	2497
742	7190	2487
743	7200	2477
744	7209	2467
745	7218	2457
746	7226	2447
747	7235	2437
748	7244	2427
749	7253	2417
750	7262	2407
751	7271	2397
752	7279	2387
753	7288	2377
754	7297	2368
755	7306	2358
756	7315	2348
757	7325	2338
758	7336	2329
759	7346	2319
760	7354	2309
761	7363	2299
762	7372	2290
763	7381	2280
764	7390	2270
765	7399	2260
766	7409	2250
767	7419	2241
768	7429	2231
769	7438	2221
770	7448	2212
771	7457	2202
772	7467	2192
773	7476	2183
774	7485	2173
775	7495	2163
776	7504	2153
777	7514	2144
778	7523	2134
779	7533	2124
780	7543	2115
781	7553	2105
782	7563	2096
783	7573	2086
784	7582	2076
785	7591	2066
786	7600	2057
787	7608	2047
788	7618	2037
789	7627	2027
790	7636	2017
791	7645	2007
792	7654	1997
793	7662	1988
794	7672	1978
795	7681	1968
796	7690	1958
797	7699	1949
798	7711	1940
799	7722	1930
800	7731	1920
801	7741	1911
802	7750	1901
